THERE was once a little boy who had caught cold he had gone out and got wet feet.,neutral
Nobody had the least idea how it had happened the weather was quite dry.,neutral
"His mother undressed him, put him to bed, and ordered the teapot to be brought in, that she might make him a good cup of tea from the elder-tree blossoms, which is so warming.",neutral
"""Now, drink your tea,"" said the mother ""perhaps you will hear a story.""",neutral
"""Yes, if I only knew a fresh one,"" said the old man, and nodded smilingly.",joy
"""But how did the little fellow get his wet feet?"" he then asked.",neutral
"""That,"" replied the mother, ""nobody can understand.""",neutral
"""Will you tell me a story?"" asked the boy.",neutral
"""Yes, if you can tell me as nearly as possible how deep is the gutter in the little street where you go to school.""",neutral
"""Just half as high as my top-boots,"" replied the boy ""but then I must stand in the deepest holes.""",neutral
"""There, now we know where you got your wet feet,"" said the old man.",neutral
"""You can make one up,"" said the little boy.",neutral
"""Mother says you can tell a fairy tale about anything you look at or touch.""",neutral
"No, the right ones come by themselves and knock at my forehead saying: 'Here I am.'""",neutral
"""Pray, tell me a story.""",neutral
"Look at the teapot there is a story in it now.""",neutral
"And the little boy looked at the teapot the lid rose up gradually, the elder-tree blossoms sprang forth one by one, fresh and white long boughs came forth even out of the spout they grew up in all directions, and formed a bush- nay, a large elder tree, which stretched its branches up to the bed and pushed the curtains aside and there were so many blossoms and such a sweet fragrance!",neutral
"""What is this woman's name?"" asked the little boy.",neutral
"""Well, the Romans and Greeks used to call her a Dryad,"" said the old man ""but we do not understand that.",neutral
Out in the sailors' quarter they give her a better name there she is called elder-tree mother.,neutral
"Now, you must attentively listen to her and look at the beautiful elder-tree.",neutral
"""Just such a large tree, covered with flowers, stands out there it grew in the corner of an humble little yard under this tree sat two old people one afternoon in the beautiful sunshine.",neutral
"He was an old, old sailor, and she his old wife they had already great-grandchildren, and were soon to celebrate their golden wedding, but they could not remember the date, and the elder-tree mother was sitting in the tree and looked as pleased as this one here.",joy
"'I know very well when the golden wedding is to take place,' she said but they did not hear it- they were talking of bygone days.",neutral
"""'Well, do you remember?' said the old sailor, 'when we were quite small and used to run about and play- it was in the very same yard where we now are- we used to put little branches into the ground and make a garden.'",neutral
"""'Yes,' said the old woman, 'I remember it very well we used to water the branches, and one of them, an elder-tree branch, took root, and grew and became the large tree under which we are now sitting as old people.'",neutral
"""'Certainly, you are right,' he said 'and in yonder corner stood a large water-tub there I used to sail my boat, which I had cut out myself- it sailed so well but soon I had to sail somewhere else.'",neutral
"""'But soon I had to sail about somewhere else, and for many years I was travelling about far away from home.'",neutral
"""'And I often cried about you, for I was afraid lest you were drowned and lying at the bottom of the sea.",sadness
"Many a time I got up in the night and looked if the weathercock had turned it turned often, but you did not return.",neutral
"I remember one day distinctly: the rain was pouring down in torrents the dust-man had come to the house where I was in service I went down with the dust-bin and stood for a moment in the doorway, and looked at the dreadful weather.",neutral
Then the postman gave me a letter it was from you.,neutral
Heavens! how that letter had travelled about.,neutral
"I tore it open and read it I cried and laughed at the same time, and was so happy!",joy
"Therein was written that you were staying in the hot countries, where the coffee grows.",neutral
These must be marvellous countries.,neutral
"You said a great deal about them, and I read all while the rain was pouring down and I was standing there with the dust-bin.",neutral
You had a large yellow silk handkerchief in your pocket and a shining hat on.,neutral
"'Yes, these are children's children, and they are strong and healthy.",neutral
"If I am not mistaken, our wedding took place at this season of the year.'",neutral
"Soon afterwards the children and grandchildren came, for they knew very well that it was the golden wedding-day they had already wished them joy and happiness in the morning, but the old people had forgotten it, although they remembered things so well that had passed many, many years ago.",neutral
"The elder-tree smelt strongly, and the setting sun illuminated the faces of the two old people, so that they looked quite rosy the youngest of the grandchildren danced round them, and cried merrily that there would be a feast in the evening, for they were to have hot potatoes and the elder mother nodded in the tree and cried 'Hooray' with the others.""",joy
"""But that was no fairy tale,"" said the little boy who had listened to it.",neutral
"""You will presently understand it,"" said the old man who told the story.",neutral
"""Let us ask little elder-tree mother about it.""",neutral
"""That was no fairy tale,"" said the little elder-tree mother ""but now it comes!",neutral
"Real life furnishes us with subjects for the most wonderful fairy tales for otherwise my beautiful elder-bush could not have grown forth out of the teapot.""",neutral
"The little elder-tree mother had suddenly become a charming young girl, but her dress was still of the same green material, covered with white blossoms, as the elder-tree mother had worn she had a real elder blossom on her bosom, and a wreath of the same flowers was wound round her curly golden hair her eyes were so large and so blue that it was wonderful to look at them.",neutral
"She and the boy kissed each other, and then they were of the same age and felt the same joys.",joy
"They walked hand in hand out of the bower, and now stood at home in a beautiful flower garden.",neutral
Near the green lawn the father's walking-stick was tied to a post.,neutral
"There was life in this stick for the little ones, for as soon as they seated themselves upon it the polished knob turned into a neighing horse's head, a long black mane was fluttering in the wind, and four strong slender legs grew out.",neutral
The animal was fiery and spirited they galloped round the lawn.,neutral
"And they rode round the lawn again, and the little girl, who, as we know, was no other than the little elder-tree mother, continually cried, ""Now we are in the country!",neutral
"Do you see the farmhouse there, with the large baking stove, which projects like a gigantic egg out of the wall into the road?",neutral
"The elder-tree spreads its branches over it, and the cock struts about and scratches for the hens.",neutral
Look how proud he is!,neutral
"Now we are near the church it stands on a high hill, under the spreading oak trees one of them is half dead!",neutral
"Now we are at the smithy, where the fire roars and the half-naked men beat with their hammers so that the sparks fly far and wide.",neutral
"Let's be off to the beautiful farm!""",neutral
"And they passed by everything the little girl, who was sitting behind on the stick, described, and the boy saw it, and yet they only went round the lawn.",neutral
"Then they played in a side-walk, and marked out a little garden on the ground she took elder-blossoms out of her hair and planted them, and they grew exactly like those the old people planted when they were children, as we have heard before.",neutral
"They walked about hand in hand, just as the old couple had done when they were little, but they did not go to the round tower nor to the Fredericksburg garden.",neutral
"No the little girl seized the boy round the waist, and then they flew far into the country.",neutral
"And during their whole flight the elder-tree smelt so sweetly he noticed the roses and the fresh beeches, but the elder-tree smelt much stronger, for the flowers were fixed on the little girl's bosom, against which the boy often rested his head during the flight.",neutral
"""It is beautiful here in spring,"" said the little girl, and they were again in the green beechwood, where the thyme breathed forth sweet fragrance at their feet, and the pink anemones looked lovely in the green moss.",neutral
"The high walls and indented battlements were reflected in the water of the ditches, on which swans were swimming and peering into the old shady avenues.",neutral
The corn waved in the field like a yellow sea.,neutral
"Red and yellow flowers grew in the ditches, wild hops and convolvuli in full bloom in the hedges.",neutral
"In the evening the moon rose, large and round, and the hayricks in the meadows smelt sweetly.",neutral
"""Here it is beautiful in autumn!"" said the little girl, and the atmosphere seemed twice as high and blue, while the wood shone with crimson, green, and gold.",neutral
"The hounds were running off, flocks of wild fowl flew screaming over the barrows, while the bramble bushes twined round the old stones.",neutral
"The dark-blue sea was covered with white-sailed ships, and in the barns sat old women, girls, and children picking hops into a large tub the young ones sang songs, and the old people told fairy tales about goblins and sorcerers.",neutral
It could not be more pleasant anywhere.,neutral
"The snow creaked under one's feet, as if one had new boots on.",neutral
One shooting star after another traversed the sky.,neutral
"In the room the Christmas tree was lit, and there were song and merriment.",neutral
"In the peasant's cottage the violin sounded, and games were played for apple quarters even the poorest child said, ""It is beautiful in winter!""",neutral
"And the little girl showed everything to the boy, and the elder-tree continued to breathe forth sweet perfume, while the red flag with the white cross was streaming in the wind it was the flag under which the old sailor had served.",neutral
"The boy became a youth he was to go out into the wide world, far away to the countries where the coffee grows.",neutral
But at parting the little girl took an elder-blossom from her breast and gave it to him as a keepsake.,neutral
"He placed it in his prayer-book, and when he opened it in distant lands it was always at the place where the flower of remembrance was lying and the more he looked at it the fresher it became, so that he could almost smell the fragrance of the woods at home.",neutral
"He distinctly saw the little girl, with her bright blue eyes, peeping out from behind the petals, and heard her whispering, ""Here it is beautiful in spring, in summer, in autumn, and in winter,"" and hundreds of pictures passed through his mind.",neutral
Thus many years rolled by.,neutral
"He had now become an old man, and was sitting, with his old wife, under an elder-tree in full bloom.",neutral
"They held each other by the hand exactly as the great-grandfather and the great-grandmother had done outside, and, like them, they talked about bygone days and of their golden wedding.",neutral
"They glittered at first like silver, then like gold, and when she placed them on the heads of the old people each flower became a golden crown.",neutral
"There they both sat like a king and queen under the sweet-smelling tree, which looked exactly like an elder-tree, and he told his wife the story of the elder-tree mother as it had been told him when he was a little boy.",neutral
"They were both of opinion that the story contained many points like their own, and these similarities they liked best.",neutral
"""Yes, so it is,"" said the little girl in the tree.",neutral
"""Some call me Little Elder-tree Mother others a Dryad but my real name is 'Remembrance.'",neutral
It is I who sit in the tree which grows and grows.,neutral
I can remember things and tell stories!,neutral
"But let's see if you have still got your flower.""",neutral
"And the old man opened his prayer-book the elder-blossom was still in it, and as fresh as if it had only just been put in.",neutral
"Remembrance nodded, and the two old people, with the golden crowns on their heads, sat in the glowing evening sun.",neutral
"They closed their eyes and- and- Well, now the story is ended!",neutral
"And she covered him up well, so that he might not take cold.",neutral
"""You have slept soundly while I was arguing with the old man whether it was a story or a fairy tale!""",neutral
"""And what has become of the little elder-tree mother?"" asked the boy.",neutral
"""She is in the teapot,"" said the mother ""and there she may remain.""",neutral
THE drummer's wife went into the church.,neutral
She saw the new altar with the painted pictures and the carved angels.,neutral
Those upon the canvas and in the glory over the altar were just as beautiful as the carved ones and they were painted and gilt into the bargain.,neutral
"Their hair gleamed golden in the sunshine, lovely to behold but the real sunshine was more beautiful still.",neutral
"It shone redder, clearer through the dark trees, when the sun went down.",neutral
It was lovely thus to look at the sunshine of heaven.,neutral
"And she looked at the red sun, and she thought about it so deeply, and thought of the little one whom the stork was to bring, and the wife of the drummer was very cheerful, and looked and looked, and wished that the child might have a gleam of sunshine given to it, so that it might at least become like one of the shining angels over the altar.",neutral
"And when she really had the little child in her arms, and held it up to its father, then it was like one of the angels in the church to behold, with hair like gold- the gleam of the setting sun was upon it.",neutral
"""My golden treasure, my riches, my sunshine!"" said the mother and she kissed the shining locks, and it sounded like music and song in the room of the drummer and there was joy, and life, and movement.",joy
"And the Drum said- the Fire-drum, that was beaten when there was a fire in the town: ""Red hair! the little fellow has red hair!",neutral
"Believe the drum, and not what your mother says!",neutral
"Rub-a dub, rub-a dub!""",neutral
And the town repeated what the Fire-drum had said.,neutral
"The boy was taken to church, the boy was christened.",neutral
There was nothing much to be said about his name he was called Peter.,neutral
"The whole town, and the Drum too, called him Peter the drummer's boy with the red hair but his mother kissed his red hair, and called him her golden treasure.",neutral
"In the hollow way in the clayey bank, many had scratched their names as a remembrance.",neutral
And the swallows came.,neutral
"They had, on their long journey, seen more durable characters engraven on rocks, and on the walls of the temples in Hindostan, mighty deeds of great kings, immortal names, so old that no one now could read or speak them.",neutral
Remarkable celebrity!,neutral
In the clayey bank the martens built their nest.,neutral
"They bored holes in the deep declivity, and the splashing rain and the thin mist came and crumbled and washed the names away, and the drummer's name also, and that of his little son.",neutral
He had a lovely voice.,neutral
"He could sing, and he sang like a bird in the woodland.",neutral
"There was melody, and yet no melody.",neutral
"""He must become a chorister boy,"" said his mother.",neutral
"""Fiery cat!"" said some of the witty ones of the town.",neutral
The Drum heard that from the neighbors' wives.,neutral
"""Don't go home, Peter,"" cried the street boys.",neutral
"""If you sleep in the garret, there'll be a fire in the house, and the fire-drum will have to be beaten.""",neutral
"""Look out for the drumsticks,"" replied Peter and, small as he was, he ran up boldly, and gave the foremost such a punch in the body with his fist, that the fellow lost his legs and tumbled over, and the others took their legs off with themselves very rapidly.",anger
The town musician was very genteel and fine.,neutral
He was the son of the royal plate-washer.,neutral
"He was very fond of Peter, and would sometimes take him to his home and he gave him a violin, and taught him to play it.",neutral
It seemed as if the whole art lay in the boy's fingers and he wanted to be more than a drummer- he wanted to become musician to the town.,neutral
"""I'll be a soldier,"" said Peter for he was still quite a little lad, and it seemed to him the finest thing in the world to carry a gun, and to be able to march one, two- one, two, and to wear a uniform and a sword.",neutral
"""Ah, you learn to long for the drum-skin, drum, dum, dum!"" said the Drum.",neutral
"""Yes, if he could only march his way up to be a general!"" observed his father ""but before he can do that, there must be war.""",neutral
"""We have nothing to lose,"" remarked the father.",neutral
"""Yes, we have my boy,"" she retorted.",anger
"""No, I would rather keep my golden treasure with me.""",neutral
"""Drum, dum, dum!""",neutral
"The Fire-drum and all the other drums were beating, for war had come.",neutral
"The soldiers all set out, and the son of the drummer followed them.",neutral
"""Red-head. Golden treasure!""",neutral
"The mother wept the father in fancy saw him ""famous"" the town musician was of opinion that he ought not to go to war, but should stay at home and learn music.",sadness
